,doing business as name,address,city_x,state_x,zip_code,license description,business activity id,business activity,application type,date issued,expiration,latitude_x,latitude_y,license_id,active_id,name,review_count,rating,price
406,CHO SUN OK RESTAURANT,4200 n lincoln ave 1st,CHICAGO,IL,60618,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/23/2018,2020-05-15,41.957764213000004,41.95797,11400,2868,Cho Sun Ok Restaurant,1035,3.5,$$
407,KAISER TIGER,1415 w randolph st 1&2,CHICAGO,IL,60607,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,03/28/2018,2020-05-15,41.884048725,41.883812,11456,2881,Kaiser Tiger,411,3.5,$$
408,PARACHUTE,3500 n elston ave 1st,CHICAGO,IL,60618,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,03/28/2018,2020-05-15,41.944745276,41.944707,11460,2883,Parachute,574,4.0,$$$
409,GALE STREET INN,4914 n milwaukee ave 1st,CHICAGO,IL,60630,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/29/2018,2020-05-15,41.970011678,41.9699747728431,11476,2886,Gale Street Inn,589,4.0,$$
410,BATTER & BERRIES LLC,2748 n lincoln ave 1st,CHICAGO,IL,60614,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/24/2018,2020-05-15,41.931663209,41.931560499999996,12021,2891,Batter & Berries,2271,4.0,$$
411,WHITE PALACE GRILL,1159 s canal st,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/19/2018,2020-05-15,41.867319405,41.8675498962402,11976,2892,White Palace Grill,497,3.5,$
412,AL'S ITALIAN BEEF INC,1079 w taylor st 1st,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/18/2018,2020-05-15,41.869348588,41.8692398071289,11960,2901,Al's Beef,461,3.5,$
413,J.P. GRAZIANO GROCERY CO INC.,901 w randolph st  1,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/20/2018,2020-05-15,41.884256704,41.88405,12005,2914,J.P. Graziano Grocery,470,4.5,$
414,ROSEBUD CAFE,1500 w taylor st 1st,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/30/2018,2020-05-15,41.869409054,41.869524,12222,2916,The Rosebud,594,4.0,$$
415,MAUDE'S,840 w randolph st 1st and 2nd,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/14/2018,2020-05-15,41.884490694,41.88466,12546,2920,Maude's Liquor Bar,969,4.0,$$$
416,NIA,803 w randolph st,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/15/2018,2020-05-15,41.884294811,41.8842587674927,12564,2927,Nia,488,3.5,$$
