,name,address1,address2,address3,city,state,zip_code,latitude,longitude,review_count,rating,price
297,Tavern at the Park,130 E Randolph St,,,Chicago,IL,60601,41.884633450002,-87.6236779994751,740,3.5,$$
298,Native Foods Cafe,218 S Clark St,,,Chicago,IL,60604,41.87887,-87.63117,739,4.0,$$
299,Lawry's The Prime Rib,100 E Ontario St,,,Chicago,IL,60611,41.893461,-87.625029,738,4.0,$$$
300,Stella's Diner,3042 N Broadway St,,,Chicago,IL,60657,41.9377628713846,-87.6443700492382,737,4.0,$
301,Theory,9 W Hubbard St,,,Chicago,IL,60654,41.8899748,-87.6286362,737,4.0,$$
302,90 Miles Cuban Café,3101 N Clybourn Ave,,,Chicago,IL,60618,41.9380569458008,-87.6858062744141,735,4.0,$
303,Tandoor Char House,2652 N Halsted St,,,Chicago,IL,60614,41.9306399,-87.64928,734,4.0,$$
304,Nini's Deli,543 N Noble St,,,Chicago,IL,60642,41.89235,-87.66198,734,5.0,$
305,D4 Irish Pub & Cafe,345 E Ohio St,,,Chicago,IL,60611,41.892019224495,-87.618911921119,732,3.5,$$
306,Uncommon Ground,1401 W Devon Ave,,,Chicago,IL,60660,41.9980244460366,-87.6655852796304,732,3.5,$$
307,Cafe El Tapatio,3400 N Ashland Ave,,,Chicago,IL,60657,41.94357,-87.66913,731,4.0,$$
308,Ricobene's,252 W 26th St,,,Chicago,IL,60616,41.84575,-87.63389,730,4.0,$
309,Sabri Nihari Restaurant,2502 W Devon Ave,,,Chicago,IL,60659,41.9978027,-87.692538,729,3.5,$$
310,Isla Pilipina,2501 W Lawrence Ave,Unit D,,Chicago,IL,60625,41.9682525,-87.6916001116394,728,4.0,$$
311,Lou Malnati's Pizzeria,958 W Wrightwood Ave,,,Chicago,IL,60614,41.9291500907879,-87.6535692116174,727,4.0,$$
312,Hubbard Inn,110 W Hubbard St,,,Chicago,IL,60654,41.89025,-87.63179,726,3.5,$$
313,Brunch,644 N Orleans St,,,Chicago,IL,60654,41.8937063,-87.6372449,726,3.5,$$
314,High Five Ramen,112 N Green St,,,Chicago,IL,60607,41.883651,-87.648968,726,4.0,$$
315,Wishbone,3300 N Lincoln Ave,,,Chicago,IL,60657,41.941674636742,-87.67028176426,724,3.5,$$
316,Havana,412 N Clark St,,,Chicago,IL,60654,41.88967,-87.6314,722,4.0,$$
317,Beatrix Streeterville,671 N St Clair,,,Chicago,IL,60611,41.8944242,-87.622564,722,4.5,$$
318,Adobo Grill,215 W North Ave,,,Chicago,IL,60610,41.9109338,-87.6353587,720,3.5,$$
319,Bryn Mawr Breakfast Club,3348 W Bryn Mawr Ave,,,Chicago,IL,60659,41.9831649,-87.71335,717,4.5,$$
320,Ethiopian Diamond,6120 N Boardway St,,,Chicago,IL,60660,41.99301,-87.66068,716,4.0,$$
321,STK Chicago,9 West Kinzie St,,,Chicago,IL,60654,41.88902,-87.62864,716,4.0,$$$
322,JAM,2853 N Kedzie Ave,,,Chicago,IL,60618,41.933595,-87.707188,715,3.5,$$
323,Blue Line Lounge & Grill,1548 N Damen Ave,,,Chicago,IL,60622,41.9095818,-87.6777204,715,4.0,$$
324,El Nuevo Mexicano,2914 N Clark St,,,Chicago,IL,60657,41.9352732,-87.6470639,715,4.0,$$
325,Phoenix Restaurant,2131 S Archer Ave,,,Chicago,IL,60616,41.8534698486328,-87.6329345703125,715,3.5,$$
326,Pleasant House Pub,2119 S Halsted St,,,Chicago,IL,60608,41.85357,-87.64621,714,4.5,$$
327,Bari,1120 W Grand Ave,,,Chicago,IL,60642,41.89136,-87.65555,712,4.5,$
328,Panes Bread Cafe,3002 N Sheffield Ave,,,Chicago,IL,60657,41.9364856920137,-87.6542047151184,712,4.5,$
329,Ruth's Chris Steak House,431 N Dearborn St,,,Chicago,IL,60654,41.8901981146158,-87.6294261217117,710,4.0,$$$
330,Qing Xiang Yuan Dumplings,2002 S Wentworth Ave,Ste 103,,Chicago,IL,60616,41.85505,-87.63219,710,4.0,$$
331,Nico Osteria,1015 N Rush St,,,Chicago,IL,60611,41.9013688470215,-87.6276382123032,709,4.0,$$$
332,Bakin' & Eggs,3120 N Lincoln Ave,,,Chicago,IL,60657,41.93823,-87.66714,707,3.5,$$
333,Scofflaw,3201 W Armitage Ave,,,Chicago,IL,60647,41.9173240661621,-87.7071762084961,707,4.5,$$
334,Kinzie Chophouse,400 N Wells St,,,Chicago,IL,60654,41.8893789,-87.634279,704,4.0,$$$
335,DryHop Brewers,3155 N Broadway,,,Chicago,IL,60657,41.9392443174878,-87.6442063962951,704,4.0,$$
336,Edzo's Burger Shop,1571 Sherman Ave,,,Evanston,IL,60201,42.046047,-87.681241,703,4.0,$$
337,The Indian Garden,247 E Ontario St,Ste 2,,Chicago,IL,60611,41.8932472,-87.6209043,702,3.5,$$
338,NoMI Kitchen,800 N Michigan Ave,Fl 7,Park Hyatt Chicago,Chicago,IL,60611,41.8969705807961,-87.6251828670502,702,4.0,$$$$
339,La Gondola,2914 N Ashland Ave,,,Chicago,IL,60657,41.9345793,-87.6686589,702,4.0,$$
340,Doc B's Restaurant + Bar,100 E Walton St,,,Chicago,IL,60611,41.900246,-87.625163,701,4.5,$$
341,Angelina Ristorante,3561 N Broadway St,,,Chicago,IL,60657,41.947146362475,-87.6469336269836,701,4.0,$$
342,Indie Cafe,5951 N Broadway St,,,Chicago,IL,60660,41.9904999627679,-87.6600041637543,700,4.0,$$
343,Crosby's Kitchen,3455 N Southport Ave,,,Chicago,IL,60657,41.94508,-87.66357,700,4.0,$$
344,Cafe Selmarie,4729 N Lincoln Ave,,,Chicago,IL,60625,41.9674474,-87.6875832,699,4.0,$$
345,Harry Caray's Italian Steakhouse - River North,33 W Kinzie St,,,Chicago,IL,60654,41.8890226258691,-87.6292555506971,698,4.0,$$$
346,Tre Kronor,3258 W Foster Ave,,,Chicago,IL,60625,41.9759307505565,-87.7109275,694,4.0,$$
347,Tempo Cafe,6 E Chestnut St,,,Chicago,IL,60611,41.898485654682,-87.627969592056,693,3.5,$$
348,Ēma,74 W Illinois St,,,Chicago,IL,60654,41.8909649,-87.6306233,693,4.5,$$
349,RL Restaurant,115 E Chicago Ave,,,Chicago,IL,60611,41.897007,-87.624961,693,4.0,$$$
350,Buffalo Joe's,812 Clark St,,,Evanston,IL,60201,42.049913316724,-87.682541892338,692,4.0,$
351,Petterino's,150 N Dearborn St,,,Chicago,IL,60601,41.8846425,-87.6296888,692,3.5,$$
352,Mon Ami Gabi,2300 N Lincoln Park W,,,Chicago,IL,60614,41.924093,-87.636974,690,4.0,$$$
353,Athenian Room,807 W Webster Ave,,,Chicago,IL,60614,41.9217435,-87.6490466,689,4.0,$$
354,Iguana Café,517 N Halsted St,,,Chicago,IL,60642,41.8917655944824,-87.6474304199219,689,4.0,$$
355,Park Grill at Millennium Park,11 N Michigan Ave,,Millennium Park,Chicago,IL,60602,41.882686667881,-87.6235798878008,688,3.0,$$
356,Maggiano's Little Italy,516 N Clark St,,,Chicago,IL,60654,41.8913803100586,-87.6317443847656,686,4.0,$$
357,Twisted Spoke,501 N Ogden Ave,,,Chicago,IL,60642,41.8912954404938,-87.6585463125038,685,3.5,$$
358,Half Shell,676 W Diversey Pkwy,,,Chicago,IL,60614,41.93302,-87.64657,684,4.0,$$
359,Fatso's Last Stand,2258 W Chicago Ave,,,Chicago,IL,60622,41.8959792096669,-87.6842580932541,681,4.5,$
360,The Roost Carolina Kitchen,1467 W Irving Park Rd,,,Chicago,IL,60613,41.954246,-87.666775,675,4.0,$
361,Chicago Chop House,60 W Ontario St,,,Chicago,IL,60654,41.89349,-87.63045,672,3.5,$$$$
362,Cesar's Killer Margaritas - Broadway,2924 N Broadway,,,Chicago,IL,60657,41.9357073,-87.644427,672,3.0,$$
363,Chilam Balam,3023 N Broadway St,,,Chicago,IL,60657,41.93722,-87.64401,672,3.5,$$
364,Simone's,960 W 18th St,,,Chicago,IL,60608,41.8581707126579,-87.6510884753762,670,3.5,$$
365,Pierogi Heaven,169 N Wells St,,,Chicago,IL,60606,41.8848892663734,-87.633853211969,669,4.5,$
366,Great Sea Restaurant,3254 W Lawrence Ave,,,Chicago,IL,60625,41.9687,-87.71065,669,4.0,$$
367,Doc B's Restaurant + Bar,55 E Grand Ave,,,Chicago,IL,60611,41.891591,-87.626302,669,4.5,$$
368,Sheffield's Wine & Beer Garden,3258 N Sheffield Ave,,,Chicago,IL,60657,41.94161,-87.65455,669,4.0,$$
369,Reza's Restaurant,5255 N Clark St,,,Chicago,IL,60640,41.9778895664059,-87.6681118034762,666,3.5,$$
370,Meli Cafe,540 N Wells St,,,Chicago,IL,60654,41.8918462775328,-87.6342765335556,664,3.5,$$
